HTTrack3.49-2+htsswf+htsjava launched on Wed, 05 Nov 2025 15:32:53 at http://imagine-wp.local/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qiC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://imagine-wp.local/ -O1 "C:\Users\user\Documents\GitHub\imagine-uo.github.io\Imagine_HTML" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

16:33:33	Warning: 	Moved Permanently for imagine-wp.local/?p=701
16:33:33	Warning: 	File has moved from imagine-wp.local/?p=701 to http://imagine-wp.local/members/marina-iturrate-bobes/
16:33:33	Warning: 	Moved Permanently for imagine-wp.local/?p=703
16:33:33	Warning: 	File has moved from imagine-wp.local/?p=703 to http://imagine-wp.local/members/david-nieto-barba/
16:33:33	Warning: 	Moved Permanently for imagine-wp.local/?p=705
16:33:33	Warning: 	File has moved from imagine-wp.local/?p=705 to http://imagine-wp.local/members/dario-tagarro/
16:33:33	Warning: 	Retry after error -4 (Incorrect length (6953799 Bytes, 10074358 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/SEIO2023-David.pdf (from imagine-wp.local/scientific-production/)
16:35:48	Warning: 	Retry after error -4 (Incorrect length (4338682 Bytes, 7744059 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/GEDM2025-miranda.pdf (from imagine-wp.local/scientific-production/)
16:36:20	Warning: 	Retry after error -4 (Incorrect length (4349117 Bytes, 7185928 expected)) at link imagine-wp.local/wp-content/uploads/2025/08/SMPS2024_Quique.pdf (from imagine-wp.local/scientific-production/)
16:38:03	Warning: 	Retry after error -4 (Incorrect length (1685622 Bytes, 4897533 expected)) at link imagine-wp.local/wp-content/uploads/2025/09/ISIPTA2025-Marina.pdf (from imagine-wp.local/scientific-production/)
16:38:32	Warning: 	Moved Permanently for imagine-wp.local/?p=972
16:38:32	Warning: 	File has moved from imagine-wp.local/?p=972 to http://imagine-wp.local/2025/11/03/bfta-2025-school-report/
16:38:32	Warning: 	Retry after error -4 (No data (connection closed)) at link imagine-wp.local/wp-content/uploads/2025/11/BFTA4.jpg (from imagine-wp.local/2025/11/03/bfta-2025-school-report/)
16:38:33	Warning: 	Moved Permanently for imagine-wp.local/?p=166
16:38:33	Warning: 	File has moved from imagine-wp.local/?p=166 to http://imagine-wp.local/2025/10/31/ipmu-2024-special-session-on-imprecise-probabilities/
16:38:33	Warning: 	Moved Permanently for imagine-wp.local/?p=864
16:38:33	Warning: 	File has moved from imagine-wp.local/?p=864 to http://imagine-wp.local/2025/10/23/isipta-2025-report/
16:38:33	Warning: 	Moved Permanently for imagine-wp.local/?p=759
16:38:33	Warning: 	File has moved from imagine-wp.local/?p=759 to http://imagine-wp.local/2025/09/30/new-published-paper-at-ijufks/
16:38:33	Warning: 	Moved Permanently for imagine-wp.local/?p=811
16:38:33	Warning: 	File has moved from imagine-wp.local/?p=811 to http://imagine-wp.local/2025/08/08/eusflat-2025-report/
16:38:33	Warning: 	Retry after error -4 (Incorrect length (829747 Bytes, 3118399 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Marina-Panel-1.jpeg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
16:40:17	Warning: 	Retry after error -4 (Incorrect length (8747895 Bytes, 11576270 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Raul-y-Bernard-Panel.jpg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
16:43:50	Warning: 	Retry after error -4 (Incorrect length (11531850 Bytes, 15125236 expected)) at link imagine-wp.local/wp-content/uploads/2025/10/EUSFLAT-2025-Presentacion-Raul.jpg (from imagine-wp.local/2025/08/08/eusflat-2025-report/)
